Path length,BFS,Bidirectional Search,A*,JPS
10,0.14031665560393827,0.10383030044593938,0.05192816209633613,0.05252535123888864
20,0.7287350356309122,0.6730912092353115,0.11246431852512076,0.14732902313557916
30,1.7898284892051215,1.1360657744684213,0.18542555846402112,0.2808580630292096
40,3.2322878870302194,2.1249191788844883,0.27357236553065784,0.4521634058621404
50,5.111540533996373,3.408861631910994,0.39143792180364645,0.6657889741404639
60,7.37418880196451,5.0182052422109935,0.5616817466649423,0.9460574757705614
70,9.721920954304922,6.774628433775394,0.8434535135460391,1.1922021924411765
80,12.51254903468031,8.799365489463819,1.1568535655677359,1.460652432347996
90,15.722210633953285,11.2172162717997,1.5917994242536189,1.7755677128051963
100,18.906790589439122,13.694707554716155,2.124933931914548,2.1087637014410405
110,22.336975563609425,16.31187350666064,2.960553585295658,2.4913713147599066
120,25.76423373160732,18.764400729009694,3.870198211028451,2.764839495745141
130,29.615076660764057,21.492376725147956,5.005095487483311,3.107590522019038
140,33.39939451356704,24.543982848844493,6.102447225572482,3.4484346153080687
150,37.77792750241282,27.874982844764624,7.329032911159327,3.846071628010639
160,41.818439668196504,30.871829781415208,8.763872641005687,4.047564540172414
170,44.972475781989175,33.26756262131773,10.25961948892179,4.287835973710679
180,48.81896917491977,36.5944104471971,12.68033036997688,4.542183777173567
190,52.37075515400613,40.054840696145256,15.468635742882967,4.91945133905813
200,56.99510122833603,42.91709085989942,18.338559004001695,5.3662648705148115
210,59.758210100710315,46.398588143261044,18.85709943484931,5.55416210831483
220,63.567740410350225,49.71241193192525,21.93344541926406,5.8946014500088655
230,66.8342611629078,52.70643698929008,26.64407305208821,6.221075759617467
240,70.42965361365268,55.51090479372,28.451400743433947,6.460723430139644
250,74.6903955058733,58.6033650433526,31.70459950037217,6.826115293932913
260,79.32311682400281,62.48874124343936,37.45919460151754,7.111496799110394
270,82.29737189888056,65.4159533241336,41.57471446103638,7.7170834128296155
280,85.00078680744019,67.65375429618207,42.568906994917484,8.085236041884198
290,84.77779685744446,70.11602462321696,49.410201112234134,8.006109823490485
300,93.58871040555918,75.9149766362716,52.56442174395297,9.001928287280311
310,93.91835993703003,77.06611611440682,58.52380980742965,9.066717452418272
320,97.54542878425939,80.73183095714144,61.04798907077968,9.442629192851468
330,99.9700735628484,82.85238526051234,66.87780534076562,9.816498377985694
340,103.78923799983917,87.32036780691917,70.88165838787633,10.395913031793409
350,105.10169911579078,88.29343487453006,79.35772291042625,10.57956981573844
360,107.12866759346497,93.01029599021354,84.26875950903047,11.361579688947845
370,107.08992833993052,94.68849709847196,89.8006570170685,11.471783400627604
380,109.54526830087131,96.68853746785409,94.60602088865456,11.895106432371493
390,116.60650337882139,102.78139202691413,102.37816439210563,12.445235744078417
400,115.60083664511674,104.07744865661499,111.57176322176953,12.499023355453607
410,117.42937559773819,105.40299620369316,121.90821990198894,13.414837903823866
420,119.05505937004779,108.02932373373075,126.40102228829925,13.462740105206366
430,120.76212032667073,110.02645608395804,139.26673072823695,14.009644935278565
440,121.26769226019186,110.78132252929618,144.70463884004496,14.266285832701012
450,125.93080536569406,117.46875177742822,152.89936089034072,15.130270781675769
460,129.35407626964852,118.76298009698061,159.0148259572628,16.008724355208184
470,128.61577018307543,121.13692555716104,173.49932569257305,16.34681271140522
480,128.95759682509794,122.07663832096962,181.92230938662084,16.464876428782812
490,132.34304109428462,125.45356860709371,192.48700214824325,17.66647006233616
500,133.54340209290436,126.38249581349287,191.96467020207157,17.639357780337082
510,135.2761451548076,129.7252253873866,207.64822054244289,18.01963972829725
520,134.33994607856962,129.89558928507884,236.72936015582385,19.035853780576495
530,137.3101525955676,131.47607725512623,237.99064938467546,19.899986544715578
540,136.81021202538278,132.01277127621088,267.0873422175148,20.542633467223855
550,140.24861647310306,136.22802091900357,277.8338220119042,22.180200073183798
560,140.0014598721405,137.96286482631274,281.458811110836,21.511129937480717
570,142.38031899016687,140.22257826577885,297.2193140064336,22.536529601997415
580,140.441386999637,135.99485827722248,307.2372214662605,22.62358253910428
590,142.54956270119638,139.16957367637573,305.1795057554201,22.974760706252717
600,142.01364598120384,140.23034999981363,332.1925214839958,23.90700324619019
610,149.4480965127091,146.31916402551906,330.2442574482618,24.707993502614993
620,147.16759070194954,145.7648232459147,338.52919282104216,24.975092252014512
630,147.59424907872625,148.337660050472,343.6591793980131,25.469127217629048
640,147.5570354254617,145.08422037797658,362.09685898611286,26.3574815143928
650,144.19693158452552,147.3319675409759,381.75275597656895,26.2831672498969
660,143.28182727241372,145.86276693307198,363.01774595345887,27.187740859094557
670,149.2332519834306,152.8596232968211,375.28183937006054,28.514635809440456
680,149.11815533540738,151.38806736419392,381.58285376491904,29.656033681838082
690,140.60616323684658,143.30390426452965,370.6396119192224,27.70827929714842
700,147.83820896640873,154.08357575701342,394.1074983581449,29.912807072503398
710,149.01705141496106,158.1496617293235,402.6962417523886,31.45380360848203
720,149.2421270534289,157.38792920918775,422.39282460427114,31.704798273474193
730,154.2791366026741,162.18769387401082,408.71387166925814,34.14833644849418
740,152.3996729298809,159.40059926021382,383.92866523599133,32.483629292196774
750,155.59658994676786,161.8555220475903,403.29634832305675,34.680282361608334
760,150.45855353301786,160.57972750832158,387.3082221203577,34.30086784435914
770,152.03572360309394,159.29026342415594,423.93754991099644,34.8201320708335
780,154.2232166665688,164.82483192797292,402.6814626317275,34.35631596561064
790,152.61845068613144,161.0327075345263,411.7918412666002,34.32069349319559
800,153.30844490344708,163.06879695850108,417.87789087666596,34.89218622435398
810,151.37965320922294,161.69921490662503,427.6102235854797,35.54724716960259
820,150.4596296238514,159.14129335726184,447.54541813299943,35.47219210092641
830,159.68952848274347,169.09582744318828,432.9751355514209,35.74073991681335
840,162.4295954725134,174.70392757347582,461.62913086249995,39.03199958838063
850,155.45742848232538,168.54650868707233,469.16744767728477,37.771899393471806
860,158.47284040475134,171.87160788076093,453.6331755563466,38.21358444413753
870,154.64698776743444,166.08596137511373,476.0027776823535,38.33280987059098
880,151.81902756329822,164.8632792697409,442.9905637816307,37.75669794853836
890,156.42001401403652,167.486174946378,473.30806942806123,39.4796246282614
900,160.83312000007857,170.58033619225026,474.0432952389831,40.57028904855251
910,153.62804004832466,162.04856184718167,517.8509319907681,39.879085545997484
920,161.28806475671377,169.03935947331564,518.6063226890722,43.390457046977225
930,151.6308098704784,160.83094960962023,497.7613207800048,38.730680516787935
940,153.22804796907502,162.6259256353233,517.3965007643106,40.492450507310444
950,137.14761828062356,143.2163169345548,506.7161298392601,39.510194356082586
960,142.80750816400126,147.59922507431347,519.8097629736533,39.18876064084362
970,142.4231489243046,150.61745833245016,517.5751284956932,38.77195457056646
980,140.44237507856525,143.4857196271234,504.23931931595195,39.78390747847215
990,144.87975315536772,153.10377641215277,556.7035873740218,41.269589371261404
1000,146.38000402891592,154.32711794677672,551.8665728920545,41.21417142947515
1010,145.04124465155866,154.68008265592076,539.333793728334,39.80263505716606
1020,137.78607800763672,146.5213975092682,498.10774190940305,39.06426265551342
1030,138.71344268746054,150.42132015873793,499.07886916823065,38.69170395140591
1040,144.2119677874926,152.7358917611815,506.4613550546464,40.567819848935706
1050,138.43321338373488,149.97422193328688,504.8839431210078,40.66896282718084
1060,141.73440746721886,150.62892074926265,487.8902962643081,37.94901244744226
1070,135.70316163374454,144.4859375525494,483.61923795889834,39.78478898053267
1080,132.9682756291718,140.46946386429443,438.84888865341657,38.51999369789572
1090,134.03014625484198,136.6689925115014,419.0182775356171,37.796220705897795
1100,133.58773297168113,139.47876702933698,443.9704043259492,38.56343891942823
1110,131.78150052518745,138.71796963320978,453.5955356013088,38.873396335159924
1120,129.70891628154487,134.7875988358675,434.5351337204839,38.0603418585866
1130,127.45127657175064,138.13628343003137,457.1841337125642,39.824828572273255
1140,130.9989112414552,139.0412644973168,465.91804319514324,41.19747929213315
