Path length,BFS,Bidirectional Search,A*,JPS
10,0.15853837634657875,0.13299151283641877,0.05809163545037254,0.05083886862974179
20,0.552445077422392,0.4365223016178905,0.14780355768978667,0.12502396177425362
30,1.307745005843502,0.8833324324020068,0.3806967090915989,0.20249741467549853
40,2.404429051093757,1.606905207624314,0.7542785882466921,0.31739189920739996
50,3.8369839519083855,2.5132779641422682,1.3705491014583382,0.4314101798805648
60,5.599634065535823,3.645850000046968,2.2674271370054115,0.5628538109000781
70,8.069002626085908,5.062014796639968,3.3576158711193287,0.7461096663250274
80,10.769461176465539,6.664387411790735,4.898826823059251,0.9139749412326251
90,14.073802353108631,8.821709762811661,6.536491059660912,1.1208508242228452
100,17.66885733053852,11.128124553164083,8.150203456540499,1.383184744433652
110,21.949873161670624,13.526669779972824,10.744096966510336,1.5802501749895
120,26.15089597221211,16.54703371698343,13.136278482074704,1.8524433815438124
130,31.584335645847915,19.30840514397079,16.02363313410128,2.174294140029467
140,37.25334458700159,22.507897438249433,19.22352991857684,2.46304423800031
150,42.802071461743395,25.837643499067106,23.44819977015291,2.955508285205301
160,49.30827087204938,29.622496789201683,26.507445528009615,3.227100114585883
170,56.35810215325589,33.38437870700964,29.335684569650574,3.5514217691772294
180,63.626324146113745,38.087478048917724,35.155389023881135,4.126100486589641
190,70.5331049528465,42.420895165324495,41.05099528275852,4.676553183112223
200,79.0915811126279,47.66018831866537,45.21875633218013,5.071134607474356
210,86.23414625385145,51.46513115328501,49.781064444752,5.346239952532205
220,93.81311990390785,56.31586863637977,55.91709155775382,6.1546665866858135
230,104.95278721271292,62.27175500546779,59.9202680334323,6.382530399412816
240,113.91981117522758,67.8580630963215,67.41230558814769,7.1480060533053384
250,121.99496883414518,74.02357522424963,72.54998374382878,7.696876457153147
260,134.42421678588505,81.13589523665252,82.43650916605478,8.484204523442756
270,143.6868866351886,86.58525627201635,86.34881371546183,8.891064478008017
280,154.76539637243877,94.94484643211099,94.38293022850692,9.827952598465973
290,162.06318914619658,99.02675049843582,103.42963543699297,9.954483167640658
300,177.0765913091902,107.21942097287051,109.76658980425788,11.064099883943417
310,186.26266765506205,113.64997914691249,123.38968554453403,12.285309834114466
320,195.57916678265954,122.0305948721501,130.75245734364975,12.995983566854383
330,209.04066251460486,132.7052492296427,140.1336587193739,13.388938078499915
340,220.93019581405923,138.1650826742136,143.5829379065439,14.5000048833531
350,229.4463545025789,144.54889368376536,163.30587157875473,15.316548186052612
360,243.2292988566671,153.88899828488485,173.03077782838685,16.25906057214737
370,250.92784902456845,161.31203547547798,175.55260401776,17.259003790183126
380,261.7479551606331,171.32672337015754,195.37030403275367,18.59278220659473
390,264.4488269361113,177.86189919000415,205.07458982701937,19.010375259480725
400,277.3331236320616,187.50671303931438,219.46947334122186,21.161590918950623
410,286.43788891578293,196.84641903577798,230.6928061437894,21.84233048152493
420,290.5881658022134,203.23646592029002,246.63734705169807,22.548620872375256
430,306.4354441695483,212.3805483196081,253.06188509068681,23.351061546481777
440,316.1254227285063,221.7020608389572,262.31172937123506,24.02800221484163
450,319.9248510935227,227.57622784791113,283.35718768711604,25.753815304183576
460,334.30452707293557,239.18138609746606,291.0282078056437,26.670746829451584
470,338.5514021713393,247.57830834157127,314.04208651433675,28.78683462882042
480,346.4764482143734,255.425500119513,332.3370710708556,30.135163331847814
490,359.21915337931523,264.02964112247935,350.91541214159264,31.263387170068725
500,358.31132843049573,274.8786246320781,361.09449754892756,32.378306617120316
510,370.6635993093937,280.2952888513091,369.82926241392374,33.606919195631455
520,375.6238863080171,288.50709315294904,395.99875286241576,34.779920651287874
530,382.521877196693,298.17060767513624,407.6142220245519,36.65087029951168
540,382.76798257117514,305.32751236032647,426.2917812116656,38.97834202805615
550,398.3024381021389,314.41247176315574,449.2547204682992,40.16890727463104
560,402.82528182884624,317.40581348609925,483.41898399949076,42.23997314350946
570,408.12243806622337,325.68950023873754,481.0018075177166,43.10109737494111
580,415.6785477298866,334.27260034828856,496.61411990657257,44.91541536726552
590,421.5429717037532,339.5553286569796,543.3806676258215,45.806522303026355
600,426.10563118572287,342.93461231592687,552.9593508463795,47.83213841807371
610,436.62210240785816,354.82392419741376,585.9872042434546,48.89179071083392
620,442.07567797543305,358.3208448771032,597.6440027090068,50.851541932115005
630,442.8667354266296,362.8820793842676,608.7564374395951,52.47971019071143
640,456.8874857509881,375.6673788749054,647.2195346260816,52.746517000831666
650,453.7280661897645,374.803690000517,663.4861729764867,55.86258261881414
660,462.4717674070499,383.22560700934343,693.6231188088237,56.8399589951977
670,470.3391561732616,390.44692617224325,711.6107902476817,59.813024814334916
680,471.5448359602264,394.9782240150377,728.9018129307428,58.85251133004433
690,475.5394157910653,400.12754026930804,743.8664328028041,59.5880550793583
700,485.70872880445154,401.4652773986725,811.7693079616482,61.35431814989385
710,489.87015962637963,410.63252362534405,836.9279463746772,63.86829400006682
720,487.18665087554604,418.9774108755961,844.6147793744877,64.26759375046939
730,495.79419152580465,422.70908239895704,845.7173359846354,62.776912124519086
740,499.5378743141815,431.3794224445065,893.718672817559,66.15962693299588
750,504.46625591168555,430.0736779550026,935.8837465520929,68.89871404019043
760,501.5955248453973,436.1849484471801,916.2744272043246,65.84422049759337
770,508.73962564029534,439.8925324782129,963.5092179487403,66.5995318693119
780,511.2936247232362,444.61861709647366,995.2280009845673,68.49348191929772
