Path length,BFS,Bidirectional Search,A*,JPS
0,0.7950657120963569,0.545909457929809,0.10624835885179856,0.3350781657970343
25,4.597978583980766,3.3812190730865597,0.33063071031955354,1.6722623630276703
50,11.267681447379966,8.693014547559951,0.8277584755066445,3.809256305189404
75,20.053270960666918,15.975892493794492,1.8689193244955757,6.425193506208333
100,29.783816961516052,24.209114138627548,4.001980717815469,8.968580928838715
125,40.74799569806431,33.53609222587633,6.773974526651353,11.678605157697593
150,51.93393254948376,42.78710813128073,10.57742927604641,13.747375658453958
175,62.592080633253815,53.11267174346102,16.86666228830126,16.44684211722856
200,72.79250092510848,63.63238068280568,22.301788749278067,18.985891935040215
225,83.53518432526414,73.63389344705979,30.856018007621852,21.576951324096044
250,94.82136448178817,83.8807092259627,41.486372109853114,24.657649121590712
275,103.27107702863309,94.41742754521604,51.36632834649825,28.03062808780091
300,113.23405692088959,104.53739551832517,62.70505947786838,31.1726897702175
325,120.26602863973777,113.22701770660082,76.50461770603657,34.46099314699173
350,126.2140335799808,123.46275650421852,91.13497607101844,38.43802234232583
375,134.3484324116888,133.83396071428484,107.87186938807544,41.1447817931866
400,138.9970618349963,141.827337291888,130.8117190561853,45.01342678097731
425,143.8383438982935,148.59707225647088,152.46982827763532,48.71945612833242
450,151.50592981505966,158.02306536235045,174.07146180700127,54.08511058130058
475,155.86704734647074,165.03196519553327,197.3156096641578,58.34594100493958
500,158.47583502860584,171.5821417000767,231.31262308312643,62.23480427718175
525,162.71358290658995,177.2141097996193,274.7912199048778,70.61722466532133
550,167.04924608037277,183.27392033583035,303.75425432474583,73.51021475193815
575,167.30943744248754,183.8355617904656,326.4534127874833,77.91571174501203
600,173.56608106331657,193.41379474351075,346.1081357494974,82.48681034964555
625,174.1631305582877,196.22007925992375,382.2096619712569,87.43921956555651
650,174.34228159821592,200.29995278359854,387.5622187644676,92.28457211484776
675,172.012068356801,199.6795913703787,398.3061087265909,95.99103193537948
700,177.19484682747876,211.3142907017954,424.09058168130554,105.04698969923241
725,183.0984362193462,215.4199718020093,421.2785111387052,108.56633844683309
750,182.9731494529961,216.7725206118861,422.4894708669802,110.1092951939606
775,182.70375799007624,217.02508513493214,439.23605959484485,110.14927871594958
800,179.68873220511716,213.5237483071644,467.5150097065442,112.77266365675392
825,193.58620827830717,233.27879901613858,480.4746605743639,121.0073880325331
850,185.2849606259913,226.80973581779216,489.1671171045021,120.45402133676785
875,188.1621260373979,227.58550027069208,499.2975338739586,125.54301423417019
900,187.60422438210622,222.81221926022866,551.5530370022303,130.60045597649955
925,178.18778067765967,208.9022732785341,537.666810482281,125.33834028822912
950,170.54797956942835,198.61570476704233,545.9557541427831,123.2465906925288
975,175.697209190194,207.29319835355088,584.8520716035072,131.46017956042812
1000,172.67517966206526,205.53331925817557,547.0246865941307,126.32147627118373
1025,172.62135030713185,206.36604340598444,542.621290491174,129.990590642932
1050,171.19920818256475,201.39860294488565,514.8580887069874,124.23639050769923
1075,161.00529180844626,188.2726342851775,461.98017276446024,120.1025329535348
1100,163.40879059678468,188.10081388833177,485.59067905955334,119.45802094156926
1125,161.58959675875684,190.4766461337891,501.61713391542435,128.49693965079481
1150,164.19217097727793,187.70165488178938,499.2528986801887,125.84727915484547
1175,158.78280353845045,184.1045707958286,477.6164398221491,129.59447345128805
1200,167.89178277640232,190.94078688924907,517.2550712071532,133.87080874142734
1225,172.45914859233605,197.02685830791168,541.1246598740356,136.1351476502269
1250,168.8949632895521,202.23182404852366,532.1533718365657,130.66672563383096
1275,180.1576686646317,208.24229824270162,565.1299950681941,134.21798345278685
1300,179.34099647383658,210.42817596307933,553.2729249986319,133.898088143231
1325,175.4195147667253,213.69993080217628,540.1505953586554,136.7371261582596
1350,172.51770389957346,209.9114012973649,538.6452155864084,140.58688224987552
1375,186.5158401428585,220.63715842355538,571.1692250911481,145.49227311854722
1400,176.72425064278264,206.862251074529,547.8431557928544,143.5769755369604
1425,169.0194247313725,190.8345537650329,522.2748715066782,148.41444946200616
1450,135.95068053231142,165.0655087224589,432.19295302133435,127.08992550397079
1475,118.2404685712996,156.86878762415478,396.67374000151955,127.76028095313481
1500,119.0086525251167,168.34712828349586,411.6549222240544,129.54356363987682
1525,128.40846697733087,160.7184613172738,403.4207990602502,136.4976660367453
1550,118.78139902607909,157.79886407701716,407.05937475834077,134.82393883327836
1575,134.64506724168515,152.20712759268696,390.13601896372336,141.53185861583412
1600,109.14990516777696,141.3521603438361,379.3410120740019,147.1690448265651
1625,112.01769660994158,141.35752033682192,399.4251779671443,151.1421559331781
1650,111.89379782909933,153.18039347684902,389.0027195694654,152.14125652546468
1675,113.21552264465475,155.68171320433888,403.3298094362583,154.16742075164362
1700,114.14837380817958,141.1271095176538,397.59118570884067,155.69536428224473
1725,114.10757501423359,152.09642499685287,390.81657499074936,150.64840000867844
