Path length,ge-bfs,ge-bidir,ge-aStar,ge-jps
0,0.22863321564109548,0.20800228278121546,0.18395325022967293,0.17600878533663356
25,0.46787122843558326,0.6300854354573969,0.6389714015157599,0.3654485959755747
50,0.8490903634007334,1.1096709113112826,1.4096731472754027,0.694536830595151
75,1.310575749599828,1.6673532764468573,2.2884674329673294,1.07497221389703
100,1.8834666684644306,2.3119366857873733,3.3744433828734075,1.5477541028155355
125,2.4872250880929236,3.000250872419271,4.74240296061446,2.1326210808255532
150,3.2874672475176823,3.7459193399558917,6.228171079416308,2.758853658774173
175,4.108925134310194,4.59337662749634,7.848882599329488,3.444865557347115
200,4.845437540521258,5.398518513230717,9.400554669769578,4.094772147472342
225,6.008106814332471,6.371490969162378,11.625712948519691,5.029348893100602
250,7.2371754310122824,7.552148613962748,13.819747235329507,5.930130449133348
275,8.811132560209023,8.729067084415952,16.80970070837231,7.211297865864221
300,10.043651573516271,10.087756114614594,19.148005242322707,8.161599470602049
325,11.587297136133367,11.065743265930651,22.332785688466096,9.474294445129356
350,13.43189185206977,12.826142809213344,25.90714661996534,10.933187522755958
375,14.733542636036873,13.780071750283241,28.275082189742832,11.893941950716384
400,17.370098235960985,15.98475741897792,33.886916077600354,14.14528604194048
425,20.509589561794115,17.74377060558485,39.423755474712536,16.241962609291075
450,22.087669521978455,19.64294674829261,42.95239451833784,17.73223903918103
475,25.3725376280758,21.89869878038712,48.28120261368436,19.93029616684864
500,26.332654111189385,22.84658920907811,51.29586900729839,21.089867977655096
525,28.8268029948391,24.21817443084885,55.455213226548786,22.525494354742545
550,32.7915979369372,27.107739762677177,63.84225267059011,25.863044061472003
575,35.50270902862152,29.06832934005393,69.44178680703044,28.259403126728202
600,39.45945336946346,31.62244697514799,77.39953748014513,31.216705354178302
625,39.141677212958434,33.60777261914039,77.82845068241463,31.615877380784678
650,43.24545287850092,35.67960269867088,85.87059334306409,34.582003592158394
675,46.82951635788996,37.374854755919046,94.12031920087557,37.89607429166071
700,51.99447415431766,39.95001640145579,103.31849768178773,41.53907361748809
725,51.97702729136257,41.916586946026754,105.91859033835136,42.50918508323572
750,57.15540374557815,44.226596791263994,115.40565543931223,46.20970659481225
775,59.728737090654555,46.89782634434295,119.57448526891514,47.91493206420846
800,63.89633830209332,49.262640723116064,130.16030017466025,51.96966949947166
825,66.82568038386763,51.20987828370777,136.0494616445017,54.12397547966545
850,70.82086512920183,53.16627743488703,148.53094837624803,59.157148039646636
