Path length,ge-bfs,ge-bidir,ge-aStar,ge-jps
0,1.810470722635917,1.1478588946746875,0.38396987382869163,0.47561172445934935
25,11.159477823268952,7.032775683792615,3.427690081044524,2.4758019705931984
50,30.39757414388232,18.84293506014355,11.825231002525753,5.982566689251674
75,59.49700130374784,35.99551233551607,24.79841530997342,10.47619445043308
100,99.62837179024231,58.74376746663651,43.751185260846945,15.96272302048649
125,145.078148174379,86.42808756663439,69.30747131785327,22.26946749835703
150,203.50138543347614,121.66771156743592,96.8736093527974,29.141573639884566
175,267.16495428051013,162.5323758303529,136.48291732180024,38.23373340098009
200,333.21688345730524,206.55247602332696,177.1876018141104,47.39227131767187
225,399.139867672021,255.95862565455676,223.08926933045615,57.8125705613504
250,466.14347929846923,309.4762883213812,283.7595948080503,70.61392396083986
275,522.700154639114,361.513812908666,346.45964711108303,83.32991597973137
300,576.5745108266166,416.4008199039894,416.20873186141813,97.86458684454004
325,629.0085410895098,470.3987898592604,496.6002438112234,114.03292783507408
350,672.6159168270673,520.9911422378905,584.0792803334324,131.38135085053406
375,711.3737416525478,570.0135028438042,676.8063630895482,147.76073901092113
400,757.8483766295835,609.0048569711616,780.2912231457093,167.26934868995042
425,792.2551852345559,652.628237680827,880.4009732080762,190.8533511416382
450,829.7673556279725,679.8544113152257,999.6430126084141,214.5443953870971
475,861.595931419838,710.6705598985359,1137.256068129145,246.04798191630712
500,888.3031582493777,735.0296775415119,1264.7511488976893,277.43023751421
525,918.6159151588366,755.6613400724011,1414.3734941434748,315.07239610723946
550,934.5575169553343,771.7632000608428,1527.5767199683355,347.1394954652011
575,950.3605972031447,783.2680023350612,1622.238639225728,372.5864999392767
600,961.3930883875945,791.9089702374092,1726.2926243132522,396.55096889773654
625,980.161217512683,804.7528811095498,1867.83484691828,415.5563113493892
650,1035.6509011538826,822.6734044920623,2212.130417424654,428.04129945351974
675,1061.0826848559173,828.6060049387469,2455.6846399181663,449.42722452663713
700,1067.7873140732293,823.98099621099,2681.75250135347,473.370350337702
725,1075.744114523097,818.2377319057073,2778.004619999691,468.39105452288476
750,1086.7410354252086,769.5820143511477,2644.3021053810826,466.2051999996596
775,1105.6072769245277,663.0821230801253,1806.4227615400002,367.0627115391768
