Path length,ge-bfs,ge-bidir,ge-aStar,ge-jps
0,0.3354902992497629,0.32619178917870595,0.15756436915539984,0.14626473855616443
25,0.9117200742423756,1.0627933093606319,0.8832609680062333,0.4533516775719738
50,1.8055947418662086,2.098879528218421,2.483955788007681,0.9360592395499132
75,2.789243066832967,3.218764238984045,4.496554558294533,1.4773268295030524
100,3.916110343811949,4.381408352600901,6.732633399444137,2.0688219568041406
125,5.221941428893928,5.71953276276813,9.559402447860345,2.8279318176420394
150,6.799857419286937,7.258233563638829,12.4809795036754,3.606096293395484
175,8.589853060760086,8.935377694719987,16.236935432008703,4.577552702787111
200,10.383630171390442,10.760340410903845,19.685586781919113,5.501910806812166
225,13.241814410579098,12.841476938745997,24.621186484087694,6.796379461374369
250,15.577181992285391,14.846566544736133,28.876767465735185,7.924578494447119
275,17.245216297930565,16.384032963410668,33.0201226408067,8.948589131020118
300,20.694305491718378,18.897724431572538,39.240778214552186,10.634701896797527
325,23.138845659357255,21.217986197176234,45.12477469317681,11.966691151762431
350,26.43523506981006,23.555678049437432,51.80344982112912,13.59425341739929
375,28.4405003659079,25.655180932428234,55.330908033780965,14.547223370097507
400,32.2638319320846,28.624647192369427,63.82135947210747,16.410486662596988
425,36.68538849827089,31.691490912039338,73.15926604766351,18.732076619684364
450,41.12187819207662,34.871958414860444,81.43988040855324,20.5794539716019
475,45.79822000026703,37.404731094620445,92.06498654235493,23.239306365359912
500,49.993860504194124,40.8061291019332,101.08827672769993,25.320063672578733
525,52.747420030345246,42.48972470240834,108.47908443931476,27.05915817119732
550,55.32120630333016,45.62615549371049,112.59584432722212,28.08416053582956
575,58.81305767030733,48.996109172360185,122.94452875169286,30.55568800948074
600,62.22661199887594,51.44933447383699,132.9714059016818,32.796529147284375
625,69.24112481923,55.15709124864453,143.58855948352465,35.34880400878669
650,73.68644262272151,59.464015299288086,153.7157938050442,37.76603242087234
675,77.6933509641917,61.86133367853015,164.802128791393,40.301844328485856
700,83.17350994651677,65.19521147434388,176.73759617039624,43.042470940668316
725,89.0595161345967,68.10464333860497,192.27467052141824,46.58263666964414
750,94.89694849216849,72.01967105515918,202.16645864974288,48.65819191305261
775,99.36530281544626,73.86348199397045,217.26317260770816,52.396418575498
800,99.1176346592094,77.72030270874285,219.01812725678246,52.880972207238095
825,102.73315864578288,79.66890801975434,228.66641710998752,55.07342405795201
850,112.72009675910881,84.81876504700463,252.91153746725203,60.659286673004566
875,117.35099358208683,92.06635633346137,264.75590697297264,63.560968446731565
900,115.51510909138894,89.18124212050924,261.103684598307,62.80045770802613
925,126.51733996441764,97.08353449088814,285.37853084254436,68.21801952898068
950,133.23545461106258,101.18526528627488,307.3522631095935,73.2967202538392
975,139.44001184728808,101.32268778363564,321.6956992476506,76.34446954771988
1000,143.60316496164026,108.49625669230878,335.4284330996829,79.49282956627053
1025,147.75061006773086,109.20067527573624,347.92314395712407,82.55859963797825
1050,152.49523193688287,116.34295420011465,358.3266543763397,84.79871897323288
1075,157.01617142972788,118.88727123750606,377.3946445275769,89.375621890314
1100,163.31629701781628,122.30949272682417,392.59978041364184,92.08069066814522
1125,167.73728454940849,126.08307534870174,410.7414093762636,96.6394428813623
1150,169.13944375164368,129.71835441624418,411.92707297512715,97.25419926687198
1175,174.4661847556834,134.7720985097956,429.80595297529794,101.48850725220039
1200,190.94082237186288,140.97090038007363,471.8011174919014,110.6045274384936
1225,191.7165544780779,141.2364775890945,472.2982897788393,110.27056665659805
1250,185.41689695252313,144.13678261456096,464.96604391152715,109.09379981281937
